episode_id,duplicate_type,selection_changed
controlled_research_ideation_020_wrong_scope,duplicate target contract,False
controlled_research_ideation_020_wrong_scope,duplicate broad distractor,False
controlled_research_ideation_021_already_satisfied,duplicate target contract,False
controlled_research_ideation_021_already_satisfied,duplicate broad distractor,False
controlled_research_ideation_022_already_satisfied,duplicate target contract,False
controlled_research_ideation_022_already_satisfied,duplicate broad distractor,False
controlled_research_ideation_023_already_satisfied,duplicate target contract,False
controlled_research_ideation_023_already_satisfied,duplicate broad distractor,False
controlled_research_ideation_024_conflict,duplicate target contract,False
controlled_research_ideation_024_conflict,duplicate broad distractor,False
controlled_research_ideation_025_conflict,duplicate target contract,False
controlled_research_ideation_025_conflict,duplicate broad distractor,False
controlled_research_ideation_026_conflict,duplicate target contract,False
controlled_research_ideation_026_conflict,duplicate broad distractor,False
controlled_research_ideation_027_contract_swap,duplicate target contract,False
controlled_research_ideation_027_contract_swap,duplicate broad distractor,False
controlled_research_ideation_028_contract_swap,duplicate target contract,False
controlled_research_ideation_028_contract_swap,duplicate broad distractor,False
controlled_research_ideation_029_contract_swap,duplicate target contract,False
controlled_research_ideation_029_contract_swap,duplicate broad distractor,False
controlled_research_ideation_030_contract_swap,duplicate target contract,False
controlled_research_ideation_030_contract_swap,duplicate broad distractor,False
controlled_food_safety_001_direct_trigger,duplicate target contract,False
controlled_food_safety_001_direct_trigger,duplicate broad distractor,False
controlled_food_safety_002_direct_trigger,duplicate target contract,False
controlled_food_safety_002_direct_trigger,duplicate broad distractor,False
controlled_food_safety_003_direct_trigger,duplicate target contract,False
controlled_food_safety_003_direct_trigger,duplicate broad distractor,False
controlled_food_safety_004_direct_trigger,duplicate target contract,False
controlled_food_safety_004_direct_trigger,duplicate broad distractor,False
controlled_food_safety_005_indirect_trigger,duplicate target contract,False
controlled_food_safety_005_indirect_trigger,duplicate broad distractor,False
controlled_food_safety_006_indirect_trigger,duplicate target contract,False
controlled_food_safety_006_indirect_trigger,duplicate broad distractor,False
controlled_food_safety_007_indirect_trigger,duplicate target contract,False
controlled_food_safety_007_indirect_trigger,duplicate broad distractor,False
controlled_food_safety_008_indirect_trigger,duplicate target contract,False
controlled_food_safety_008_indirect_trigger,duplicate broad distractor,False
controlled_food_safety_009_indirect_trigger,duplicate target contract,False
controlled_food_safety_009_indirect_trigger,duplicate broad distractor,False
controlled_food_safety_010_indirect_trigger,duplicate target contract,False
controlled_food_safety_010_indirect_trigger,duplicate broad distractor,False
controlled_food_safety_011_near_miss,duplicate target contract,False
controlled_food_safety_011_near_miss,duplicate broad distractor,False
controlled_food_safety_012_near_miss,duplicate target contract,False
controlled_food_safety_012_near_miss,duplicate broad distractor,False
controlled_food_safety_013_near_miss,duplicate target contract,False
controlled_food_safety_013_near_miss,duplicate broad distractor,False
controlled_food_safety_014_near_miss,duplicate target contract,False
controlled_food_safety_014_near_miss,duplicate broad distractor,False
controlled_food_safety_015_near_miss,duplicate target contract,False
controlled_food_safety_015_near_miss,duplicate broad distractor,False
controlled_food_safety_016_near_miss,duplicate target contract,False
controlled_food_safety_016_near_miss,duplicate broad distractor,False
controlled_food_safety_017_wrong_scope,duplicate target contract,False
controlled_food_safety_017_wrong_scope,duplicate broad distractor,False
controlled_food_safety_018_wrong_scope,duplicate target contract,False
controlled_food_safety_018_wrong_scope,duplicate broad distractor,False
controlled_food_safety_019_wrong_scope,duplicate target contract,False
controlled_food_safety_019_wrong_scope,duplicate broad distractor,False
controlled_food_safety_020_wrong_scope,duplicate target contract,False
controlled_food_safety_020_wrong_scope,duplicate broad distractor,False
