episode_id,expected_selection,predicted_selection,predicted_state
paraphrase_research_ideation_059_near_miss,NULL,none,suppress
paraphrase_research_ideation_060_near_miss,NULL,none,suppress
paraphrase_food_safety_061_near_miss,NULL,none,suppress
paraphrase_food_safety_062_near_miss,NULL,none,suppress
paraphrase_food_safety_063_near_miss,NULL,none,suppress
paraphrase_food_safety_064_near_miss,NULL,none,suppress
paraphrase_food_safety_065_near_miss,NULL,none,suppress
paraphrase_food_safety_066_near_miss,NULL,none,suppress
paraphrase_food_safety_067_near_miss,NULL,none,suppress
paraphrase_food_safety_068_near_miss,NULL,none,suppress
paraphrase_food_safety_069_near_miss,NULL,none,suppress
paraphrase_food_safety_070_near_miss,NULL,none,suppress
paraphrase_food_safety_071_near_miss,NULL,none,suppress
paraphrase_food_safety_072_near_miss,NULL,none,suppress
paraphrase_code_security_073_near_miss,NULL,none,suppress
paraphrase_code_security_074_near_miss,NULL,none,suppress
paraphrase_code_security_075_near_miss,NULL,none,suppress
paraphrase_code_security_076_near_miss,NULL,none,suppress
paraphrase_code_security_077_near_miss,NULL,none,suppress
paraphrase_code_security_078_near_miss,NULL,none,suppress
paraphrase_code_security_079_near_miss,NULL,none,suppress
paraphrase_code_security_080_near_miss,NULL,none,suppress
